Please check all that apply to continue,Have any of your personal online accounts ever been hacked or did an unauthorized person log into one of your accounts?,Do you know what 2 factor authentication (also called multi-factor authentication and 2FA) is?,Do you have 2 factor authentication (also called multi-factor authentication) set up for one or more of your online accounts?,Does any of your online accounts require you to enter a security code sent to you via text message or email to login?,Was it easy to set up?,Is it easy to use?,Does any of your online accounts require you to confirm your login via a prompt on your phone?,Was it easy to set up?,Is it easy to use?,Does any of your online accounts require you to provide a code from an app on your phone to login,Was it easy to set up?,Was it easy to use?,Does any of your online accounts require you to provide a code from an external device dedicated to that purpose to login,Was it easy to set up?,Is it easy to use?,"When you connect to one of your online accounts, do you need to insert a usb device into your computer to confirm you identity?",Was it easy to set up?,Is it easy to use?,Did you enable 2 Factor Authentication for your Google or Facebook account?,Which method of 2 Factor Authentication do you use? (You can select multiples) - Selected Choice,Which method of 2 Factor Authentication do you use? (You can select multiples) - Other - Text,Are there any inconveniences to using 2FA? (You can select multiples) - Selected Choice,Are there any inconveniences to using 2FA? (You can select multiples) - Other - Text,Why did you enable 2 factor authentication?,Why did you not enable 2 factor authentication?,Do you use Google or Facebook to log into other account? Did you register for some other accounts using your Google or Facebook account?,What is the highest level of education you have completed?,How old are you?,What field is your current profession in?,What gender do you identify to?,What are your political preferences? - Selected Choice,What are your political preferences? - Other - Text,Where do you get your news from? (You can select multiples) - Selected Choice,Where do you get your news from? (You can select multiples) - Other - Text
"{""ImportId"":""QID18""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_6_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_4_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_7_TEXT""}"
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,,,No,,,No,,,Neither,,,,,,It takes too much time and is complicated to use,Yes,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",25-34 years old,"Education, Legal, Community Service, Arts, and Media Occupations",Female,Democrats,,"Social Media,TV,Online news sites",
I am 18 or older.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Google,"Text message to your phone,Code sent to your email",,"I could not connect because I did not have my phone/secondary device,I could not connect because I had no cellular service/internet service,4",,"My sister's social media account got hacked, so I made sure to keep all of my accounts secure.",,Yes,High school diploma or GED,18-24 years old,Food preparation and serving occupation,Female,Democrats,,"Social Media,TV",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,,,I don't know,,,No,,,Neither,,,,,,Do not have any personal info there,No,High school diploma or GED,65+ years old,Retired,Female,Democrats,,"TV,Online news sites",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Facebook,"Text message to your phone,Code sent to your email",,I could not connect because I did not have my phone/secondary device,,I feel it’s a relatively easy way to help improve security. ,,No,Bachelor’s degree,25-34 years old,Healthcare,Female,Democrats,,"TV,Online news sites,Radio",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No opinion,No,,,No,,,No,,,Facebook,Text message to your phone,,Time is too short to input code,,There is a lot of sensitive personal information as well as information about friends and the ability to contact them and scam them thinking it is really me,,No,Associates or technical degree,25-34 years old,No profession,Non-binary / third gender,Other,Liberal,"Social Media,TV,Online news sites,Podcasts",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,No opinion,No,,,Yes,Yes,No,No,,,No,,,Neither,,,,,,Its annoying,No,Bachelor’s degree,18-24 years old,Student,Male,Republicans,,Online news sites,
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,No opinion,Yes,Yes,No opinion,No,,,No,,,No,,,Neither,,,,,,Too lazy lol ,Yes,"Some college, but no degree",18-24 years old,Student,Male,Democrats,,"Social Media,Online news sites",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,No,,,No,,,No,,,No,,,No,,,Neither,,,,,,it is a pain,No,Some high school or less,45-54 years old,No profession,Male,Democrats,,TV,
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Both,"Text message to your phone,A one time passcode from an app,An “Approve” or “Deny” notification",,Time is too short to input code,,i have read and hear from people in the cybersecurity field who encourage 2fa because it is more secure. i want to protect my accounts.,,Yes,Bachelor’s degree,25-34 years old,Sales and Office Occupations,Female,Democrats,,"Social Media,Podcasts",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,Text message to your phone,,I could not connect because I did not have my phone/secondary device,,Better protection for my google account,,No,Bachelor’s degree,25-34 years old,Student,Male,Democrats,,Online news sites,
I am 18 or older.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am 18 or older.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,,No,,,No,,,Neither,,,,,,I couldn't figure out how to set it up for facebook and never thought about it for my Google account.,Yes,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",25-34 years old,Student,Female,Other,Independent,"Social Media,TV,Online news sites,Radio",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,,,No,,,No,,,Google,"Text message to your phone,Code sent to your email",,"Time is too short to input code,I could not connect because I did not have my phone/secondary device",,"It's easy enough and I think being able to see security at work puts my mind more at ease. It's tangible i am apart of the process, it's reassuring ",,Yes,"Some college, but no degree",25-34 years old,"Natural Resources, Construction, and Maintenance Occupations",Male,Democrats,,"Online news sites,Podcasts",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,An “Approve” or “Deny” notification,,"I could not connect because I did not have my phone/secondary device,I could not connect because I had no cellular service/internet service,4",,"Kept getting locked out of my account due to forgetting my password, it’s easier to prove it’s me by them sending me a code ",,Yes,Associates or technical degree,18-24 years old,"Education, Legal, Community Service, Arts, and Media Occupations",Female,Democrats,,"Social Media,TV,Online news sites",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't remember,Yes,No,,,Yes,Yes,Yes,No,,,Google,"Text message to your phone,Code sent to your email,An “Approve” or “Deny” notification",,It's too time consuming,,I was notified that a lot of my passwords were compromised and a few of my accounts got hacked. ,,I don't know,Associates or technical degree,18-24 years old,Student,Female,Democrats,,"Social Media,TV",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,No,,,Neither,,,,,,I just did not think it was worth the hassle for them.,Yes,Bachelor’s degree,25-34 years old,No profession,Male,Republicans,,"Social Media,TV,Online news sites,Podcasts",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,Text message to your phone,,I could not connect because I had no cellular service/internet service,,"For safety. Especially google, where I save my photos I don’t want to lose.",,No,"Some college, but no degree",25-34 years old,Sales and Office Occupations,Male,Democrats,,"Social Media,TV,Printed newspapers,Online news sites,Radio,Podcasts",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't remember,No,Yes,No,No,No,,,No,,,Google,"Text message to your phone,Code sent to your email",,"I could not connect because I had no cellular service/internet service,4",,To prevent my accounts from getting hacked.,,Yes,"Some college, but no degree",18-24 years old,No profession,Male,Democrats,,"Social Media,TV,Printed newspapers,Online news sites,Radio,Podcasts",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,No,,,Neither,,,,,,I'm lazy sometimes.,Yes,Bachelor’s degree,18-24 years old,Business and Financial Operations Occupations,Female,Democrats,,Social Media,
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,"Text message to your phone,An “Approve” or “Deny” notification",,,,It increases security.,,No,Associates or technical degree,35-44 years old,No profession,Male,No preference,,Social Media,
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,,No,,,No,,,Google,An “Approve” or “Deny” notification,,I could not connect because I did not have my phone/secondary device,,"For app integrations w/ google (app passwords), better security",,Yes,"Some college, but no degree",18-24 years old,Food preparation and serving occupation,Male,Republicans,,"Social Media,TV,Online news sites",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Neither,,,,,,If someone gets the credentials to my email accounts I have concerns elsewhere. I don't care about nor use Facebook.,Yes,Bachelor’s degree,25-34 years old,No profession,Male,Other,Further left than Democrats,"Social Media,TV,Online news sites",
I am 18 or older.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,"Text message to your phone,Code sent to your email,A one time passcode from an app,An “Approve” or “Deny” notification",,,,Better to be safe than sorry,,No,Associates or technical degree,25-34 years old,"Computer, Engineering, and Science Occupations",Male,No preference,,"Social Media,Online news sites,Podcasts",
I am 18 or older.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am 18 or older.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Neither,,,,,,Might not be able to log in at times,Yes,"Some college, but no degree",35-44 years old,Food preparation and serving occupation,Female,No preference,,"Social Media,Online news sites,Radio",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Google,Text message to your phone,,"I could not connect because I did not have my phone/secondary device,I could not connect because I had no cellular service/internet service",,After being hacked previously ,,I don't know,Bachelor’s degree,25-34 years old,Homemaker,Female,Democrats,,"Social Media,TV,Podcasts",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,No,,,No,,,Google,Text message to your phone,,Other,n/a,safety reasons ,,No,Bachelor’s degree,18-24 years old,"Education, Legal, Community Service, Arts, and Media Occupations",Female,Democrats,,"Social Media,TV,Online news sites",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,"Text message to your phone,An “Approve” or “Deny” notification",,I could not connect because I did not have my phone/secondary device,,I've never had someone get into any of my accounts and I'd like to keep it that way.,,Yes,"Some college, but no degree",25-34 years old,No profession,Non-binary / third gender,Other,leftist,"Social Media,Online news sites",
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,Both,"Text message to your phone,A one time passcode from an app",,It's too time consuming,,So that it's much harder for people to hack into any of my accounts,,Yes,"Some college, but no degree",18-24 years old,Student,Male,Democrats,,Online news sites,
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Neither,,,,,,never got around to it,No,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",35-44 years old,"Computer, Engineering, and Science Occupations",Male,Democrats,,Online news sites,
"I am 18 or older.,I have read and understood the information above,I want to participate in this research and continue with the task.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,"A one time passcode from an app,An “Approve” or “Deny” notification",,Other,Text 2FA is riskier. My preference is authenticator apps but most sites don't use them,Protection,,No,"Some college, but no degree",25-34 years old,"Education, Legal, Community Service, Arts, and Media Occupations",Female,Democrats,,"Social Media,Online news sites",
